type,meoh,acet,bu1,mepr,acal,lnpro1
KIRSCH,3,15,0.2,9,9,5.86
KIRSCH,23,13,0.8,9,2,6.67
KIRSCH,65,96,0.4,9,4,5.31
KIRSCH,279,66,0.9,36,4.8,5.45
KIRSCH,292,210,1.1,34,8,4.08
KIRSCH,371,414,1.2,39,9,6.22
KIRSCH,393,287,1.8,41,9.7,6.47
KIRSCH,394,217,1,31,8.6,6.31
KIRSCH,418,62,0.8,24,7,5.83
KIRSCH,426,204,1.3,37,8.6,6.07
KIRSCH,465,267,1.5,39,17,8.01
KIRSCH,469,226,1.6,35,8,6.21
KIRSCH,475,172,1.9,33,14,6.3
KIRSCH,498,343,2.3,42,21,6.59
KIRSCH,507,397,3.3,30,21,5.98
KIRSCH,523,367,2.6,45,25,6.67
KIRSCH,583,226,2.3,46,11,6.49
KIRSCH,632.5,342.3,2.2,38.2,13.3,7.64
MIRAB,595,410,16,24,11.4,5.09
MIRAB,630,243,13,13,13,5.87
MIRAB,707,131,15,28,9,4.89
MIRAB,748,346,13,28,25,4.43
MIRAB,771,339,21,50,13,4.69
MIRAB,798,123,15,30,9.6,4.36
MIRAB,842,299,20,27,11,3.95
MIRAB,847,381,16,44,20,5.26
MIRAB,883,205,17,32,13,5.34
MIRAB,885,41,18,34,4.7,4.85
MIRAB,887,423,9.3,36,15,5.86
MIRAB,903,312,24,24,7,4.26
MIRAB,917,86,26,21,14,4.57
MIRAB,961,58,16,59,8.3,4.19
MIRAB,965,176,18,43,13,4.63
MIRAB,1010,343,19,27,11,3.85
MIRAB,1013,116,21,22,10,4.11
MIRAB,1026,84,10,72,11,5.22
MIRAB,1035,159,21,22,15,4.16
MIRAB,1038,396,18,28,11,4.11
MIRAB,1041,399,20,37,9.6,4.73
MIRAB,1044,217,18,15,10,4.98
MIRAB,1069,112,17,24,8.5,4.23
MIRAB,1073,483,23,16,24,6.71
MIRAB,1090,106,18,26,22,4.6
MIRAB,1105,495,21,18,12,6.4
MIRAB,1110,169,17,22,16,7.17
MIRAB,1119,412,20,37,8.2,4.77
MIRAB,1123,109,19,27,8.4,4.33
POIRE,546,119,12,28,7.4,3.3
POIRE,620,123,20,26,18,6.28
POIRE,626,149,10,15,7.6,5.31
POIRE,664,150,14,32,7.7,3.64
POIRE,810,176,10,58,6,5.66
POIRE,815,147,17,39,15,5.87
POIRE,817,130,8.6,21,8.6,5.36
POIRE,898,80,19,29,9.5,4.09
POIRE,910,214,24,57,13,5.92
POIRE,927,155,10,27,10,4.13
POIRE,938,175,22,48,12,7.94
POIRE,951,153,30,51,14,4.54
POIRE,970,338,15,30,14,5.32
POIRE,1029,182,20,54,15,5.63
POIRE,1040,197,18,50,4.3,4.28
POIRE,1087,269,16,29,10,6.39
POIRE,1116,113,30,69,17,4.03
POIRE,1119,124,19,59,15,7.22
POIRE,1121,181,16,32,17,3.91
POIRE,1135,245,18,32,9.1,6.81
POIRE,1148,127,30,53,16,4.49
POIRE,1154,203,15,56,14,3.91
POIRE,1187,143,30,61,14,4.16
POIRE,1197,152,30,62,11,4.85
POIRE,1237,154,30,59,10,5.26
POIRE,1264,224,20,49,17,6.23
POIRE,1286,144,30,52,15,4.22
POIRE,1401,219,20,41,22,4.14
POIRE,1501,161,19,25,21,6.84
POIRE,1548,254,16,46,28,4.64
