Date,Snow on Ground (cm)
2013-12-10,4
2013-12-12,3
2013-12-13,3
2013-12-14,4
2013-12-15,3
2013-12-16,29
2013-12-17,28
2013-12-18,29
2013-12-19,52
2013-12-20,49
2013-12-21,58
2013-12-22,58
2013-12-23,66
2013-12-24,62
2013-12-25,67
2013-12-26,68
2013-12-27,70
2013-12-28,69
2013-12-29,70
2013-12-30,88
2013-12-31,88
2014-01-01,87
2014-01-02,85
2014-01-03,85
2014-01-04,85
2014-01-05,86
2014-01-06,84
2014-01-07,70
2014-01-08,65
2014-01-09,65
2014-01-10,62
2014-01-12,37
2014-01-13,30
2014-01-14,26
2014-01-15,15
2014-01-16,8
2014-01-17,6
2014-01-18,4
2014-01-19,4
2014-01-20,6
2014-01-21,9
2014-01-22,9
2014-01-23,24
2014-01-24,24
2014-01-25,23
2014-01-26,15
2014-01-27,14
2014-01-28,12
2014-01-29,11
2014-01-30,13
2014-01-31,12
2014-02-01,12
2014-02-03,10
2014-02-04,10
2014-02-05,9
2014-02-06,16
2014-02-07,70
2014-02-08,14
2014-02-09,14
2014-02-10,12
2014-02-11,12
2014-02-12,11
2014-02-13,11
2014-02-14,7
2014-02-15,8
2014-02-16,22
2014-02-17,37
2014-02-18,36
2014-02-19,49
2014-02-20,57
2014-02-21,55
2014-02-22,49
2014-02-23,41
2014-02-24,36
2014-02-25,36
2014-02-26,35
2014-02-27,35
2014-02-28,36
2014-03-01,35
2014-03-02,34
2014-03-03,37
2014-03-04,36
2014-03-05,36
2014-03-06,16
2014-03-07,35
2014-03-08,32
2014-03-09,28
2014-03-10,28
2014-03-11,26
2014-03-12,26
2014-03-13,49
2014-03-14,52
2014-03-15,49
2014-03-16,42
2014-03-17,40
2014-03-18,40
2014-03-19,38
2014-03-20,36
2014-03-21,33
2014-03-22,31
2014-03-23,33
2014-03-24,33
2014-03-25,32
2014-03-26,31
2014-03-27,69
2014-03-28,66
2014-03-29,57
2014-03-30,53
2014-03-31,64
2014-04-01,79
2014-04-02,80
2014-04-03,80
2014-04-04,77
2014-04-05,71
2014-04-06,61
2014-04-07,56
2014-04-08,32
2014-04-09,38
2014-04-10,32
2014-04-11,28
2014-04-12,20
2014-04-13,18
2014-04-14,15
2014-04-15,7
2014-04-16,1
2014-04-17,1
2014-04-18,0
2014-04-19,38
2014-04-20,0
2014-04-21,0
2014-04-22,0
2014-04-23,0
2014-04-24,0
2014-04-25,5
2014-04-26,0
2014-04-27,0
2014-04-28,0
2014-04-29,0
2014-04-30,53
2014-05-01,79
2014-05-02,80
2014-05-03,80
2014-05-04,77
2014-05-05,71
2014-05-06,61
2014-05-07,56
2014-05-09,38
2014-05-10,32
2014-05-11,28
2014-05-12,20
2014-05-13,18
2014-05-14,15
2014-05-15,7
2014-05-16,1
2014-05-17,1
2014-05-18,0
