Date,Points
1999-12-10T00:00:00Z,196
1999-12-10T00:00:00Z,198
1999-12-10T00:00:00Z,205
1999-12-10T00:00:00Z,163
1999-12-10T00:00:00Z,184
1999-12-10T00:00:00Z,224
1999-12-10T00:00:00Z,206
1999-12-10T00:00:00Z,190
1999-12-10T00:00:00Z,140
1999-12-10T00:00:00Z,204
1999-12-11T00:00:00Z,200
1999-12-11T00:00:00Z,190
1999-12-11T00:00:00Z,195
1999-12-11T00:00:00Z,180
1999-12-11T00:00:00Z,200
1999-12-11T00:00:00Z,180
1999-12-11T00:00:00Z,198
1999-12-11T00:00:00Z,243
1999-12-11T00:00:00Z,235
1999-12-11T00:00:00Z,200
1999-12-11T00:00:00Z,188
1999-12-11T00:00:00Z,197
1999-12-12T00:00:00Z,191
1999-12-12T00:00:00Z,194
1999-12-12T00:00:00Z,196
